OBJECTID,Shape_Leng,Shape_Area,Confirme,Confirm1,Malaria_,Total_co,ward,wardcode
1,0.11320726761,0.00040634652,354,857,26,1237,Nyalenda 'A',1189
2,0.49506801559,0.00852700078,2618,8562,116,11296,Masogo/Nyang'Oma,1213
3,0.47249794867,0.00449677883,1926,8253,114,10293,West Kisumu,1194
4,0.51910507971,0.00507304768,2814,9706,137,12657,Central Seme,1203
5,0.35312190575,0.00444245930,3148,8337,233,11718,East Seme,1204
6,0.41500083711,0.00628436777,4176,10512,212,14900,Kobura,1210
7,0.38122783271,0.00404180040,1782,4965,130,6877,South West Kisumu,1191
8,0.57459498960,0.00786515937,2775,12772,327,15874,Awasi/Onjiko,1207
9,0.33433629737,0.00273954411,963,3334,52,4349,Kolwa Central,1190
10,0.52586221710,0.00832815642,3082,12582,530,16194,East Kano/Wawidhi,1206
11,0.43523171441,0.00746212762,1460,4175,179,5814,Ombeyi,1212
12,0.41511550369,0.00704454315,2548,9388,62,11998,Kabonyo/Kanyagwal,1209
13,0.36044162769,0.00433411503,714,3623,100,4437,South West Nyakach,1216
14,0.29829123602,0.00305321773,5694,24058,490,30242,Kajulu,1186
15,0.26262088692,0.00272194813,1819,10262,69,12150,North West Kisumu,1195
16,0.07453426689,0.00025637551,2232,8289,327,10848,Kondele,1200
17,0.46475492453,0.00860579117,2597,12059,300,14956,North Nyakach,1217
18,0.60896012155,0.01222227086,1367,10685,142,12194,Muhoroni/Koru,1215
19,0.45524767838,0.00417344721,2943,7240,315,10498,Ahero,1208
20,0.05394972224,0.00017110161,222,773,209,1204,Migosi,1197
21,0.44715846604,0.00646037623,1707,6224,24,7955,Central Nyakach,1218
22,0.06415457205,0.00024444176,962,4059,43,5064,Nyalenda B,1201
23,0.09369643521,0.00049630175,3412,10845,209,14466,Market Milimani,1199
24,0.45793762018,0.00473509436,2158,8331,183,10672,Kolwa East,1187
25,0.23635156458,0.00124963115,947,3380,58,4385,Railways,1196
26,0.07001788093,0.00016495225,1010,4596,152,5758,Shaurimoyo Kaloleni,1198
27,0.33424355320,0.00560899193,2836,13495,196,16527,North Seme,1205
28,0.32041479231,0.00315633517,1726,4103,35,5864,Kisumu North,1193
29,0.74639197049,0.01060995921,1245,3772,43,5060,Miwani,1211
30,0.43411945318,0.00617626303,3466,13443,96,17005,West Seme,1202
31,0.28403813147,0.00428948935,571,5135,108,5814,South East Nyakach,1220
32,0.27596781240,0.00241236852,1627,8739,71,10437,Central Kisumu,1192
33,0.44238939512,0.00590533565,1625,6747,59,8431,West Nyakach,1219
34,0.72279883681,0.01495482873,2097,11390,51,13538,Chemelil,1214
35,0.05791827718,0.00016576655,181,541,27,749,Manyatta 'B',1188
